symbol,name,exchange,assetType,ipoDate,delistingDate,status
A,Agilent Technologies Inc,NYSE,Stock,18-11-1999,null,Active
AA,Alcoa Corp,NYSE,Stock,18-10-2016,null,Active
AAA,ALTERNATIVE ACCESS FIRST PRIORITY CLO BOND ETF ,NYSE ARCA,ETF,09-09-2020,null,Active
AAAU,Goldman Sachs Physical Gold ETF,BATS,ETF,15-08-2018,null,Active
AAL,American Airlines Group Inc,NASDAQ,Stock,27-09-2005,null,Active
AAM,AA Mission Acquisition Corp - Class A,NYSE,Stock,16-09-2024,null,Active
AAM-U,AA Mission Acquisition Corp - Units (1 Ord Share Class A & 1/2 War),NYSE,Stock,01-08-2024,null,Active
AAM-WS,AA Mission Acquisition Corp Warrants each whole warrant entitles the holder to purchase one Class A ordinary share at a price of 11.50 per share,NYSE,Stock,16-09-2024,null,Active
AAME,Atlantic American Corp,NASDAQ,Stock,07-09-1984,null,Active
AAOI,Applied Optoelectronics Inc,NASDAQ,Stock,26-09-2013,null,Active
ACNB,ACNB Corp,NASDAQ,Stock,02-01-1996,null,Active
AGG,iShares Core U.S. Aggregate Bond ETF,NYSE ARCA,ETF,26-09-2003,null,Active
AGGH,Simplify Aggregate Bond ETF,NYSE ARCA,ETF,15-02-2022,null,Active
AGGS,Harbor Disciplined Bond ETF,NYSE ARCA,ETF,02-05-2024,null,Active
AGGY,WISDOMTREE YIELD ENHANCED U.S. AGGREGATE BOND FUND ,NYSE ARCA,ETF,09-07-2015,null,Active
AGI,Alamos Gold Inc - Class A,NYSE,Stock,17-03-2003,null,Active
AGIH,ISHARES INFLATION HEDGED U.S. AGGREGATE BOND ETF ,NYSE ARCA,ETF,24-06-2022,null,Active
AGIO,Agios Pharmaceuticals Inc,NASDAQ,Stock,24-07-2013,null,Active
AGIX,KraneShares Artificial Intelligence ETF,NASDAQ,ETF,18-07-2024,null,Active
AGL,Agilon Health Inc,NYSE,Stock,15-04-2021,null,Active
AGM,Federal Agricultural Mortgage Corp - Class C,NYSE,Stock,18-08-1995,null,Active
AGMH,AGM Group Holdings Inc - Class A,NASDAQ,Stock,18-04-2018,null,Active
AGMI,Themes Silver Miners ETF,NASDAQ,ETF,03-05-2024,null,Active
AGNC,AGNC Investment Corp,NASDAQ,Stock,15-05-2008,null,Active
AGNCL,AGNC Investment Corp,NASDAQ,Stock,08-09-2022,null,Active
AGNCM,AGNC Investment Corp,NASDAQ,Stock,28-02-2019,null,Active
AGNCN,AGNC Investment Corp,NASDAQ,Stock,16-08-2017,null,Active
AGNCO,AGNC Investment Corp,NASDAQ,Stock,27-09-2019,null,Active
AGNCP,AGNC Investment Corp,NASDAQ,Stock,05-02-2020,null,Active
AGNG,GLOBAL X AGING POPULATION ETF ,NASDAQ,ETF,10-05-2016,null,Active
AGO,Assured Guaranty Ltd,NYSE,Stock,23-04-2004,null,Active
AGOV,ETC Gavekal Asia Pacific Government Bond ETF,NYSE ARCA,ETF,22-07-2021,null,Active
AGOX,Adaptive Alpha Opportunities ETF,NYSE ARCA,ETF,10-05-2021,null,Active
AGQ,ProShares Ultra Silver 2x Shares,NYSE ARCA,ETF,04-12-2008,null,Active
AGR,Avangrid Inc,NYSE,Stock,17-12-2015,null,Active
AGRH,ISHARES INTEREST RATE HEDGED U.S. AGGREGATE BOND ETF ,NYSE ARCA,ETF,24-06-2022,null,Active
AGRI,AgriFORCE Growing Systems Ltd,NASDAQ,ETF,08-07-2021,null,Active
AGRO,Adecoagro S.A.,NYSE,Stock,28-01-2011,null,Active
AGS,PlayAGS Inc,NYSE,Stock,26-01-2018,null,Active
AGTC,Applied Genetic Technologies Corp,NASDAQ,Stock,27-03-2014,null,Active
AGX,Argan Inc,NYSE,Stock,18-08-1995,null,Active
AGYS,Agilysys Inc,NASDAQ,Stock,26-03-1990,null,Active
AGZ,ISHARES AGENCY BOND ETF ,NYSE ARCA,ETF,07-11-2008,null,Active
AGZD,WISDOMTREE INTEREST RATE HEDGED U.S. AGGREGATE BOND FUND ,NASDAQ,ETF,18-12-2013,null,Active
AHCO,AdaptHealth Corp,NASDAQ,Stock,24-05-2018,null,Active
AHG,Akso Health Group,NASDAQ,Stock,28-12-2006,null,Active
ALL-P-I,Allstate Corp (The),NYSE,Stock,05-11-2019,null,Active
ALL-P-J,Allstate Corp (The),NYSE,Stock,16-05-2023,null,Active
ALLE,Allegion plc,NYSE,Stock,18-11-2013,null,Active
ALLG-WS,Allego N.V. Warrants each exercisable for one Ordinary Share at an exercise price of 11.50 per share,NYSE,Stock,24-03-2022,null,Active
ALLK,Allakos Inc,NASDAQ,Stock,19-07-2018,null,Active
ALLO,Allogene Therapeutics Inc,NASDAQ,Stock,11-10-2018,null,Active
ALLR,Allarity Therapeutics Inc,NASDAQ,Stock,21-12-2021,null,Active
ALLT,Allot Ltd,NASDAQ,Stock,16-11-2006,null,Active
ALLY,Ally Financial Inc,NYSE,Stock,10-04-2014,null,Active
ALMS,Alumis Inc,NASDAQ,Stock,28-06-2024,null,Active
ALNT,Allient Inc,NASDAQ,Stock,25-02-1992,null,Active
ALNY,Alnylam Pharmaceuticals Inc,NASDAQ,Stock,01-06-2004,null,Active
ALOR,ALSP Orchid Acquisition Corp I - Class A,NASDAQ,Stock,13-01-2022,null,Active
ALORU,ALSP Orchid Acquisition Corp I - Units (1 Ord Class A & 1/2 War),NASDAQ,Stock,19-11-2021,null,Active
